               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.019191,           0.0093861,          0.00089429,             0.96031,             0.94904,             0.98084,             0.78763,            0.020995,           0.0049042,           0.0004424,             0.00703,             0.00703,             0.00703
                  92,            0.020359,           0.0094093,          0.00071513,             0.97886,             0.94188,             0.98653,             0.78685,            0.021369,            0.004542,          0.00052802,            0.006997,            0.006997,            0.006997
                  93,            0.019589,           0.0097423,          0.00074356,             0.98864,             0.95032,              0.9862,             0.79122,            0.021012,           0.0047465,          0.00049249,            0.006964,            0.006964,            0.006964
                  94,            0.019341,           0.0093189,          0.00081343,             0.97198,             0.96634,             0.97386,             0.77869,            0.021216,           0.0045945,          0.00046862,            0.006931,            0.006931,            0.006931
                  95,            0.019599,           0.0097186,           0.0011361,             0.98246,             0.92664,             0.98025,             0.79432,            0.020961,           0.0046906,          0.00045201,            0.006898,            0.006898,            0.006898
                  96,            0.018916,           0.0095133,           0.0013373,             0.97574,             0.93609,             0.98059,             0.77691,            0.020589,           0.0049123,            0.001022,            0.006865,            0.006865,            0.006865
                  97,            0.019283,           0.0092832,           0.0007625,             0.96456,             0.95551,             0.97803,             0.76845,            0.020736,           0.0048464,          0.00069276,            0.006832,            0.006832,            0.006832
                  98,            0.018004,           0.0092405,          0.00059365,               0.968,             0.95904,             0.97964,             0.79316,            0.019965,           0.0045422,          0.00034494,            0.006799,            0.006799,            0.006799
                  99,            0.018153,           0.0092624,           0.0004485,             0.96249,             0.91807,             0.97365,             0.79009,            0.021528,           0.0047225,          0.00084266,            0.006766,            0.006766,            0.006766
                 100,            0.018311,           0.0093832,          0.00075874,             0.94996,             0.96901,             0.98605,             0.80318,            0.019942,           0.0045064,          0.00033941,            0.006733,            0.006733,            0.006733
                 101,              0.0178,            0.009054,           0.0008345,             0.97449,             0.94079,             0.98262,             0.80252,            0.020585,           0.0046528,          0.00074195,              0.0067,              0.0067,              0.0067
                 102,            0.018698,           0.0091232,          0.00067104,             0.96426,             0.94819,             0.98054,             0.78734,            0.019979,           0.0046408,          0.00058013,            0.006667,            0.006667,            0.006667
                 103,            0.019559,           0.0089864,          0.00060975,             0.95342,             0.96578,             0.98096,             0.78753,            0.019786,            0.004521,          0.00036214,            0.006634,            0.006634,            0.006634
                 104,            0.018995,           0.0094839,          0.00052989,             0.98206,             0.93115,              0.9778,             0.77143,            0.021111,           0.0048043,          0.00029929,            0.006601,            0.006601,            0.006601
                 105,            0.018537,           0.0093618,          0.00052661,             0.95906,             0.95762,             0.97975,             0.78997,            0.020767,           0.0046513,          0.00027286,            0.006568,            0.006568,            0.006568
                 106,            0.018749,           0.0093927,          0.00073735,             0.98376,             0.94303,             0.98211,             0.78209,             0.02041,             0.00475,          0.00042211,            0.006535,            0.006535,            0.006535
                 107,            0.018421,           0.0091415,           0.0006064,              0.9475,             0.96269,             0.97463,             0.78372,            0.020421,           0.0045928,          0.00060796,            0.006502,            0.006502,            0.006502
                 108,            0.019487,            0.009188,          0.00072697,             0.96808,             0.94458,             0.98139,             0.79678,            0.019806,            0.004756,          0.00039064,            0.006469,            0.006469,            0.006469
                 109,            0.018263,           0.0091543,          0.00057642,             0.96393,             0.94101,             0.98095,             0.79078,            0.020275,           0.0045649,          0.00057988,            0.006436,            0.006436,            0.006436
                 110,             0.01967,           0.0090584,          0.00047308,             0.97578,             0.96634,             0.98448,             0.79847,             0.02023,           0.0046207,          0.00019932,            0.006403,            0.006403,            0.006403
                 111,            0.018655,           0.0091187,          0.00041991,             0.98392,             0.94667,             0.98444,             0.79721,            0.019528,           0.0046783,          0.00041686,             0.00637,             0.00637,             0.00637
                 112,             0.01828,            0.008994,           0.0004508,             0.95356,             0.96719,              0.9881,             0.80434,            0.019286,            0.004605,          0.00034409,            0.006337,            0.006337,            0.006337
                 113,            0.017207,           0.0087516,          0.00051768,             0.97699,             0.92713,             0.98382,             0.80989,            0.019644,           0.0047841,          0.00027158,            0.006304,            0.006304,            0.006304
                 114,               0.018,           0.0087767,          0.00071137,             0.97184,             0.92984,             0.98065,             0.79437,            0.019693,            0.004699,          0.00067614,            0.006271,            0.006271,            0.006271
                 115,              0.0171,           0.0087869,          0.00054494,             0.94472,             0.96857,             0.97564,             0.78886,            0.019996,           0.0047472,          0.00041782,            0.006238,            0.006238,            0.006238
                 116,             0.01785,            0.008838,          0.00048187,             0.97157,             0.95009,              0.9784,             0.79392,            0.020115,            0.004466,          0.00030031,            0.006205,            0.006205,            0.006205
                 117,            0.017378,            0.009026,          0.00047476,             0.95024,             0.94932,              0.9812,             0.79644,            0.019968,           0.0046574,          0.00073031,            0.006172,            0.006172,            0.006172
                 118,            0.017452,           0.0087982,          0.00053218,             0.95743,             0.95904,             0.97839,              0.7946,            0.020134,           0.0046563,          0.00047923,            0.006139,            0.006139,            0.006139
                 119,            0.019346,             0.00884,          0.00051811,             0.97337,             0.95444,             0.97682,             0.78664,            0.020962,             0.00478,          0.00047292,            0.006106,            0.006106,            0.006106
                 120,            0.017242,           0.0086656,          0.00048916,              0.9664,             0.95539,             0.97962,             0.77911,            0.020096,            0.004855,          0.00047925,            0.006073,            0.006073,            0.006073
                 121,            0.017724,           0.0088675,          0.00083265,             0.93435,             0.96492,             0.97549,              0.7835,            0.020289,           0.0046756,          0.00079195,             0.00604,             0.00604,             0.00604
                 122,            0.017175,           0.0087298,          0.00048533,             0.97985,             0.92015,             0.97455,             0.78074,            0.019827,           0.0048172,          0.00073263,            0.006007,            0.006007,            0.006007
                 123,            0.018272,           0.0086646,           0.0008354,             0.95355,             0.93218,             0.97304,             0.77433,            0.020508,           0.0046072,          0.00063297,            0.005974,            0.005974,            0.005974
                 124,            0.016933,           0.0084847,          0.00043804,             0.96591,             0.95327,             0.98197,             0.80036,            0.020388,           0.0046404,          0.00056211,            0.005941,            0.005941,            0.005941
                 125,            0.018337,           0.0082965,          0.00039214,             0.97356,             0.93267,              0.9796,             0.79728,            0.019954,           0.0045878,          0.00056007,            0.005908,            0.005908,            0.005908
                 126,            0.016594,           0.0086556,          0.00055359,             0.95943,              0.9677,             0.98175,             0.78281,            0.020183,           0.0047309,          0.00069385,            0.005875,            0.005875,            0.005875
                 127,            0.017204,           0.0083845,          0.00032494,             0.98369,             0.94059,             0.97966,             0.80023,            0.020085,           0.0046688,          0.00075147,            0.005842,            0.005842,            0.005842
                 128,            0.017209,            0.008261,          0.00035211,             0.94446,              0.9656,             0.98071,             0.79463,            0.020121,           0.0047028,          0.00043898,            0.005809,            0.005809,            0.005809
                 129,            0.016012,           0.0082978,          0.00025984,             0.98317,              0.9502,              0.9843,             0.81101,            0.020051,           0.0045421,          0.00036389,            0.005776,            0.005776,            0.005776
                 130,            0.015992,            0.008175,          0.00030847,             0.96552,             0.96269,             0.98493,             0.80549,            0.020056,           0.0047482,          0.00041465,            0.005743,            0.005743,            0.005743
                 131,            0.016615,            0.008126,          0.00032147,             0.95325,             0.97769,             0.97975,             0.79613,            0.019815,           0.0047281,           0.0006561,             0.00571,             0.00571,             0.00571
                 132,            0.016919,            0.008429,          0.00032398,              0.9533,             0.96927,             0.97501,             0.78421,            0.021032,           0.0048688,          0.00097065,            0.005677,            0.005677,            0.005677
                 133,            0.016117,           0.0082056,          0.00043661,             0.96657,             0.94823,               0.979,             0.80443,            0.019951,           0.0047032,            0.000518,            0.005644,            0.005644,            0.005644
                 134,            0.015439,           0.0081984,          0.00033554,             0.96837,             0.95904,             0.97515,             0.80005,            0.019741,           0.0044938,          0.00030199,            0.005611,            0.005611,            0.005611
                 135,            0.016301,           0.0080417,           0.0010307,             0.96886,              0.9454,              0.9769,             0.79887,            0.019767,           0.0047015,           0.0003527,            0.005578,            0.005578,            0.005578
                 136,            0.017797,           0.0079997,          0.00048208,             0.94923,             0.94438,              0.9717,             0.78748,            0.019961,           0.0048132,          0.00068509,            0.005545,            0.005545,            0.005545
